Image,Offers,Link,Date
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Sleepy-Owl-logo.png,15% off on Sitewide,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=141,30th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Gogirgit-logo.png,15% off on Sitewide,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=140,30th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Kairali-Ayurvedic-logo.png,20% off on Total Bill,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=139,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Netmeds-logo.png,₹200 off on all tests & packages,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=138,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Netmeds-logo.png,₹200 off on Medicine +80% NMS SuperCash,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=137,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Netmeds-logo.png,3 Month Free NFM Membership,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=136,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Urban-Drive-logo.png,"10% off on All Our Economy Cars, Chauffeur Driven Pan India, Maximum off ₹500",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=135,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Urban-Drive-logo.png,"15% off on All Our Luxury Cars, Chauffeur Driven Pan India, Maximum off ₹1500",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=134,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Eco-Rent-A-Car-logo.png,"15% off on All Our Economy Cars, Outstation Chauffeur Driven Pan India, Maximum off ₹1000",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=133,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Eco-Rent-A-Car-logo.png,"20% off on All Our Luxury Cars, Outstation Chauffeur Driven Pan India, Maximum off Rs. 2500",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=132,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Thyrocare-logo.png,25% off on Catalogue Rate,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=131,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Akbar-Travels-logo.png,10% off on Domastic Holidays,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=130,29th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Joyalukkas-logo.png,"Gold Jewellery offer: 20% off on Gold Jewellery Making Charges, Diamond Jewellery offer: ₹3000 off on Purchase of Diamond Jewellery worth ₹50,000/- And Above",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=129,22nd July 2024 to 31st July 2025
